customer_id,age,income,employment_type,education,marital_status,region,credit_score,loan_amount,tenure_years,existing_loans,default
C00034,35,447983,Self-Employed,Graduate,Single,West,606,1987326,10,0,0
C00035,64,427658,Business,Not Graduate,Married,South,712,619601,5,0,0
C00036,23,606573,Self-Employed,Graduate,Married,East,505,284729,3,0,0
C00037,57,356695,Self-Employed,Graduate,Married,North,624,807071,1,1,1
C00038,27,364483,Business,Not Graduate,Single,North,638,1387752,3,0,0
C00039,41,633440,Self-Employed,Graduate,Married,South,692,1583755,5,1,0
C00040,29,283759,Self-Employed,Not Graduate,Single,Central,404,198430,3,2,1
C00041,59,297717,Salaried,Graduate,Married,East,664,1091431,10,0,0
C00042,38,250912,Salaried,Graduate,Married,East,546,1946718,2,2,1
C00043,24,648265,Self-Employed,Graduate,Single,West,679,1456046,1,0,1
C00044,45,421950,Self-Employed,Graduate,Married,East,556,1446877,10,0,0
C00045,34,244965,Salaried,Graduate,Married,Central,573,492037,15,0,0
C00046,29,649666,Business,Graduate,Married,East,625,78365,2,1,0
C00047,46,344553,Salaried,Graduate,Married,East,555,1373909,1,0,1
C00048,22,298864,Self-Employed,Graduate,Married,West,607,1568541,5,0,1
C00049,40,405122,Salaried,Graduate,Married,North,542,1630112,3,0,1
C00050,48,860634,Salaried,Not Graduate,Single,North,485,1102945,1,0,1
C00051,27,370373,Business,Graduate,Single,Central,741,506979,20,0,0
C00052,64,573149,Salaried,Graduate,Single,South,533,1913613,15,1,0
C00053,28,613653,Salaried,Graduate,Single,South,633,1934624,5,1,0
C00054,55,540080,Salaried,Graduate,Married,West,717,1546271,2,0,0
C00055,34,783857,Salaried,Graduate,Married,East,594,415863,20,1,0
C00056,37,321836,Self-Employed,Graduate,Married,West,575,1270531,1,1,1
C00057,56,276647,Business,Graduate,Single,North,670,1655919,5,1,0
C00058,60,274214,Salaried,Graduate,Married,Central,750,1822667,2,0,1
C00059,24,414566,Self-Employed,Graduate,Married,South,544,1477400,20,1,1
C00060,22,288898,Self-Employed,Graduate,Single,East,636,319594,20,0,0
C00061,26,472783,Business,Not Graduate,Married,South,494,1232573,10,1,0
C00062,62,458009,Business,Graduate,Married,North,614,523267,3,0,0
C00063,24,699665,Self-Employed,Graduate,Married,East,653,100272,5,3,1
C00064,49,504344,Salaried,Graduate,Married,North,573,1103886,20,1,0
C00065,38,366858,Salaried,Graduate,Married,South,608,1130393,10,0,1
C00066,46,532257,Salaried,Not Graduate,Married,South,523,1606926,15,1,0
C00067,64,278288,Self-Employed,Not Graduate,Single,North,656,536160,15,0,0
C00068,54,434884,Self-Employed,Not Graduate,Married,East,745,1536320,2,4,1
C00069,30,510798,Self-Employed,Graduate,Married,North,551,1023283,20,0,1
C00070,56,468922,Self-Employed,Not Graduate,Married,East,593,790176,20,1,0
C00071,34,533267,Salaried,Graduate,Single,West,695,132641,1,0,0
C00072,51,331101,Self-Employed,Graduate,Married,West,759,1838019,20,1,0
C00073,35,742972,Salaried,Graduate,Married,East,515,1830246,3,0,1
C00074,28,1004475,Salaried,Graduate,Single,North,634,1638321,2,0,0
C00075,34,215086,Salaried,Graduate,Married,East,675,92311,5,0,0
C00076,43,256012,Business,Graduate,Married,South,640,1250534,20,2,0
C00077,60,451074,Salaried,Graduate,Married,North,427,1568904,3,1,1
C00078,41,394175,Business,Graduate,Single,East,695,1542669,20,1,0
C00079,36,1038601,Salaried,Graduate,Single,South,786,1746437,10,5,0
C00080,38,488406,Salaried,Not Graduate,Married,Central,660,409571,3,4,1
C00081,44,827898,Business,Graduate,Married,South,557,1921189,10,0,0
C00082,46,175939,Self-Employed,Not Graduate,Single,East,603,1262910,2,0,1
C00083,45,638180,Salaried,Not Graduate,Single,North,809,443238,20,1,0
C00084,61,320621,Salaried,Graduate,Single,North,731,837560,1,0,1
C00085,49,318317,Business,Graduate,Married,West,707,1702386,15,1,0
C00086,35,395631,Salaried,Graduate,Married,East,682,1261970,3,2,1
C00087,21,233033,Self-Employed,Graduate,Married,South,590,98929,1,1,0
C00088,45,539961,Salaried,Not Graduate,Married,South,631,655984,1,0,1
C00089,27,482058,Salaried,Graduate,Married,East,642,427389,15,0,0
C00090,29,498713,Salaried,Not Graduate,Married,South,699,846240,3,2,0
C00091,44,659451,Self-Employed,Graduate,Single,Central,785,1718012,20,0,0
C00092,21,874713,Self-Employed,Not Graduate,Married,West,750,496098,3,0,0
C00093,64,375618,Salaried,Graduate,Married,North,522,858157,1,1,1
C00094,28,548426,Self-Employed,Not Graduate,Married,South,670,1433254,5,0,0
C00095,44,504763,Business,Not Graduate,Married,Central,716,1400670,5,0,1
C00096,31,524356,Business,Graduate,Single,East,705,1842890,3,1,0
C00097,37,527903,Salaried,Graduate,Single,South,593,133576,1,3,0
C00098,28,905032,Salaried,Graduate,Married,East,900,70557,1,1,0
C00099,55,359743,Business,Not Graduate,Single,Central,535,596113,2,0,0
C00100,55,222663,Salaried,Graduate,Single,Central,552,1369718,1,1,1
C00101,53,323177,Salaried,Graduate,Married,North,671,86080,15,1,0
C00102,25,622046,Business,Graduate,Married,East,840,1881679,5,2,1
C00103,62,447082,Salaried,Graduate,Single,West,574,1287445,2,0,0
C00104,59,358462,Salaried,Graduate,Single,North,626,1769738,20,1,0
C00105,61,272549,Salaried,Graduate,Single,East,746,543844,15,0,0
C00106,48,488736,Business,Graduate,Married,East,648,1665271,20,3,0
C00107,27,591269,Salaried,Graduate,Married,Central,619,1218859,5,0,0
C00108,29,507698,Business,Graduate,Single,Central,700,63338,15,1,0
C00109,28,394747,Self-Employed,Graduate,Married,East,674,650577,10,1,0
C00110,32,472592,Salaried,Graduate,Single,Central,742,1563312,3,2,1
C00111,54,471360,Salaried,Graduate,Single,East,766,1772831,10,1,0
C00112,53,481838,Salaried,Not Graduate,Married,East,677,228982,3,0,0
C00113,43,259642,Self-Employed,Graduate,Single,North,676,1207943,5,2,0
C00114,44,483495,Salaried,Graduate,Married,North,669,378042,5,0,0
C00115,57,362845,Business,Graduate,Married,West,694,970958,10,1,0
C00116,55,706641,Salaried,Graduate,Single,North,654,1740350,15,1,0
C00117,64,469683,Salaried,Graduate,Married,South,649,1447260,20,1,0
C00118,60,644329,Salaried,Not Graduate,Married,South,757,1593351,3,1,0
C00119,42,386233,Self-Employed,Graduate,Married,Central,786,1837073,3,0,1
C00120,47,392553,Salaried,Graduate,Married,South,514,493853,2,1,0
C00121,55,866669,Salaried,Not Graduate,Married,North,650,1878919,1,1,1
C00122,21,538396,Business,Graduate,Single,West,588,710709,15,1,0
C00123,55,320766,Self-Employed,Graduate,Married,East,622,876395,15,0,0
C00124,57,662409,Self-Employed,Graduate,Single,West,686,1043087,2,1,0
C00125,34,348019,Self-Employed,Graduate,Single,North,710,1499542,5,0,0
C00126,23,489707,Self-Employed,Not Graduate,Married,North,639,407073,10,1,0
C00127,21,1011053,Salaried,Graduate,Single,North,477,1776399,15,0,0
C00128,25,232332,Salaried,Graduate,Single,Central,563,649223,3,2,1
C00129,46,408765,Business,Graduate,Married,South,730,1812728,2,1,1
C00130,34,531640,Salaried,Graduate,Married,North,403,850118,10,0,0
C00131,59,624130,Self-Employed,Not Graduate,Single,East,756,1598131,20,0,0
C00132,47,253075,Salaried,Graduate,Single,South,696,1162104,10,0,0
C00133,29,221658,Salaried,Not Graduate,Single,South,768,1722675,15,1,0
C00134,35,722763,Salaried,Graduate,Single,Central,632,558907,1,2,0
C00135,35,319915,Salaried,Not Graduate,Married,West,464,1383507,3,2,1
C00136,46,313944,Self-Employed,Graduate,Married,South,688,982280,10,1,0
C00137,62,888786,Salaried,Graduate,Married,South,764,427757,20,0,0
C00138,33,456510,Salaried,Not Graduate,Married,North,733,1062567,3,0,0
C00139,52,457854,Business,Graduate,Married,East,590,762787,15,0,1
C00140,59,408027,Salaried,Not Graduate,Married,North,657,1883005,2,0,1
C00141,52,255048,Business,Graduate,Married,East,602,1203463,20,0,0
C00142,24,599627,Business,Graduate,Married,South,576,1159662,10,2,0
C00143,50,531922,Business,Not Graduate,Married,East,735,938663,20,0,0
C00144,57,477305,Business,Not Graduate,Married,North,542,1354070,15,0,0
C00145,43,419850,Salaried,Not Graduate,Married,North,569,558889,10,0,0
C00146,59,387881,Business,Not Graduate,Married,West,550,1686172,20,0,0
C00147,35,667048,Business,Graduate,Single,Central,515,327941,2,0,0
C00148,63,415159,Business,Graduate,Married,West,663,1366022,20,1,0
C00149,49,429841,Salaried,Not Graduate,Married,South,754,506388,3,0,0
C00150,56,561547,Business,Graduate,Married,East,633,612347,3,0,0
C00151,33,485814,Self-Employed,Not Graduate,Married,North,514,181980,10,0,1
C00152,52,926365,Self-Employed,Graduate,Married,North,725,1814188,15,1,0
C00153,27,200262,Salaried,Graduate,Single,North,801,1572451,2,1,1
C00154,42,506337,Salaried,Graduate,Married,North,591,193949,5,2,0
C00155,48,322054,Business,Graduate,Single,South,606,326383,3,0,0
C00156,22,289543,Salaried,Graduate,Married,Central,696,1054475,20,1,0
C00157,62,360166,Salaried,Graduate,Single,West,795,77313,5,1,0
C00158,26,453434,Business,Not Graduate,Single,West,603,1068394,20,0,0
C00159,48,462582,Salaried,Graduate,Single,North,530,1140679,10,0,0
C00160,48,223510,Salaried,Graduate,Married,North,706,229480,5,1,1
C00161,64,346803,Salaried,Not Graduate,Single,East,721,1575043,15,0,0
C00162,64,502097,Salaried,Not Graduate,Single,North,650,1187347,20,1,0
C00163,40,298158,Salaried,Graduate,Single,West,599,1224804,15,0,0
C00164,50,267894,Salaried,Not Graduate,Single,East,739,141665,20,0,0
C00165,31,160290,Salaried,Graduate,Single,East,697,846966,5,1,0
C00166,48,328260,Self-Employed,Not Graduate,Single,North,580,1928068,15,0,1
C00167,45,263726,Business,Not Graduate,Married,East,654,1902197,3,0,1
C00168,59,284142,Salaried,Graduate,Married,Central,528,1708931,10,1,1
C00169,53,391476,Salaried,Not Graduate,Married,North,711,847399,5,0,0
C00170,21,337755,Salaried,Not Graduate,Married,Central,626,787351,20,0,0
C00171,47,261762,Business,Graduate,Married,North,610,901995,3,0,0
C00172,33,170735,Business,Graduate,Married,Central,647,320804,20,2,0
C00173,61,506885,Salaried,Graduate,Single,North,653,1479391,5,0,1
C00174,23,620804,Salaried,Graduate,Married,West,730,534091,20,0,1
C00175,59,370076,Self-Employed,Not Graduate,Single,North,703,179909,3,0,0
C00176,26,392542,Self-Employed,Graduate,Married,West,635,1531615,15,0,0
C00177,28,442973,Salaried,Graduate,Married,South,718,499058,15,1,0
C00178,47,900272,Self-Employed,Not Graduate,Single,South,686,190688,10,1,0
C00179,29,218497,Self-Employed,Not Graduate,Married,North,611,1174552,20,1,0
C00180,57,367133,Business,Not Graduate,Married,West,638,1856072,15,0,0
C00181,53,203844,Salaried,Graduate,Single,West,636,1278386,2,1,1
C00182,62,520759,Business,Graduate,Married,East,695,1373827,3,2,1
C00183,64,414661,Salaried,Graduate,Married,East,616,1815340,3,1,1
C00184,44,484729,Self-Employed,Graduate,Single,Central,614,1717046,5,2,1
C00185,35,473972,Self-Employed,Graduate,Single,East,827,1866017,10,1,0
C00186,52,690947,Salaried,Not Graduate,Married,North,734,928219,1,2,0
C00187,52,563633,Self-Employed,Graduate,Married,East,581,1900962,15,0,0
C00188,44,642889,Salaried,Graduate,Single,East,701,329087,1,2,0
C00189,61,273897,Salaried,Graduate,Married,North,660,1139301,2,6,1
C00190,32,756854,Salaried,Not Graduate,Single,North,685,1930442,10,0,0
C00191,59,319635,Salaried,Graduate,Married,Central,662,1970759,3,0,1
C00192,22,328013,Salaried,Graduate,Married,West,757,584398,1,0,1
C00193,23,499757,Business,Graduate,Married,East,681,548864,2,0,0
C00194,57,506795,Salaried,Graduate,Married,South,644,1377182,10,0,0
C00195,37,273119,Salaried,Not Graduate,Single,West,743,1439952,2,2,1
C00196,22,409226,Salaried,Graduate,Single,North,670,759441,15,1,0
C00197,22,864326,Salaried,Graduate,Married,East,660,496015,1,0,0
C00198,48,228490,Salaried,Not Graduate,Single,Central,678,640855,5,1,1
C00199,43,863154,Salaried,Graduate,Married,South,641,532517,5,1,0
C00200,57,396819,Salaried,Graduate,Married,West,650,1805160,10,1,0
C00201,52,154509,Salaried,Graduate,Single,East,597,1488145,2,0,1
C00202,53,239179,Self-Employed,Graduate,Married,North,582,892495,3,1,1
C00203,21,286769,Self-Employed,Not Graduate,Single,West,560,1211970,1,1,1
C00204,39,334112,Salaried,Graduate,Married,South,524,1940248,5,1,1
C00205,22,422049,Salaried,Graduate,Single,North,570,1966360,5,0,0
C00206,64,131063,Business,Graduate,Single,South,634,198940,2,1,0
C00207,46,481211,Salaried,Not Graduate,Married,East,659,1043477,5,0,1
C00208,52,275187,Business,Not Graduate,Married,West,625,393133,20,1,0
C00209,26,827144,Salaried,Not Graduate,Married,Central,437,1120798,2,0,1
C00210,52,391766,Salaried,Graduate,Married,East,791,129794,1,0,0
C00211,24,676224,Self-Employed,Not Graduate,Married,East,747,1686788,2,2,1
C00212,31,729166,Business,Graduate,Married,Central,690,674142,5,0,0
C00213,37,720335,Salaried,Graduate,Single,Central,821,1963521,2,0,0
C00214,58,342873,Salaried,Not Graduate,Single,North,562,834326,5,0,0
C00215,44,340905,Salaried,Not Graduate,Single,South,819,891081,15,1,0
C00216,25,399816,Business,Not Graduate,Single,East,563,415130,10,1,0
C00217,54,589073,Self-Employed,Not Graduate,Single,North,671,818103,5,1,0
C00218,26,351578,Salaried,Not Graduate,Single,North,535,920181,20,2,0
C00219,42,419295,Salaried,Graduate,Married,East,651,283127,20,0,0
C00220,31,500377,Salaried,Graduate,Single,South,684,554434,20,1,0
C00221,36,294430,Salaried,Graduate,Married,Central,636,1239871,20,0,0
C00222,53,286172,Salaried,Graduate,Married,East,714,1277814,5,0,0
C00223,29,412001,Self-Employed,Not Graduate,Married,South,658,89369,5,0,0
C00224,26,437302,Salaried,Not Graduate,Single,Central,602,922811,10,2,0
C00225,36,537803,Salaried,Graduate,Married,West,598,1954400,15,2,0
C00226,49,598600,Self-Employed,Not Graduate,Married,East,722,1897669,3,0,0
C00227,23,269796,Salaried,Graduate,Married,East,591,1769527,5,1,1
C00228,40,306987,Salaried,Not Graduate,Single,South,732,383862,3,0,0
C00229,56,285832,Salaried,Not Graduate,Single,North,760,760595,1,0,1
C00230,39,835346,Salaried,Graduate,Single,North,499,320114,15,0,0
C00231,46,419105,Business,Graduate,Single,South,751,97922,2,0,0
C00232,23,445636,Self-Employed,Graduate,Married,East,835,1592190,3,0,0
C00233,39,454066,Salaried,Not Graduate,Married,East,672,867187,20,1,0
C00234,40,320599,Salaried,Graduate,Single,East,703,1077903,15,2,0
C00235,52,894411,Salaried,Graduate,Single,West,743,695214,1,0,0
C00236,27,532299,Self-Employed,Graduate,Single,North,625,69416,15,1,0
C00237,61,450365,Salaried,Graduate,Single,West,666,63672,2,1,0
C00238,53,269045,Salaried,Not Graduate,Married,East,531,526684,5,0,0
C00239,60,262270,Salaried,Not Graduate,Married,North,662,178145,5,0,0
C00240,59,384997,Salaried,Graduate,Single,East,694,752356,20,0,0
C00241,38,322869,Self-Employed,Graduate,Single,East,696,1959103,5,3,1
C00242,60,273662,Business,Graduate,Married,South,745,50064,10,0,0
C00243,21,374395,Business,Graduate,Single,North,580,118835,10,0,0
C00244,31,401357,Salaried,Graduate,Married,East,602,1300033,10,1,0
C00245,48,471560,Self-Employed,Graduate,Married,Central,820,1346371,20,0,0
C00246,45,352651,Self-Employed,Graduate,Married,Central,636,1502847,10,1,0
C00247,43,281132,Business,Graduate,Single,East,668,399738,1,1,1
C00248,51,285553,Salaried,Graduate,Single,South,643,691204,20,1,0
C00249,50,763629,Self-Employed,Graduate,Married,East,576,1967524,15,1,0
C00250,62,251880,Salaried,Graduate,Single,Central,796,901098,1,0,1
C00251,55,520961,Self-Employed,Not Graduate,Single,North,602,1293922,5,0,0
C00252,27,558939,Salaried,Graduate,Married,South,548,954726,2,1,1
C00253,36,418916,Self-Employed,Not Graduate,Married,East,609,1371586,10,1,0
C00254,46,980210,Business,Not Graduate,Married,Central,469,1102465,15,1,0
C00255,22,554473,Salaried,Graduate,Single,North,591,1216770,2,1,1
C00256,21,1013891,Salaried,Graduate,Married,Central,562,1223290,20,0,0
C00257,32,330057,Salaried,Graduate,Single,South,705,1015730,20,1,0
C00258,25,332609,Salaried,Graduate,Single,West,589,1654199,1,1,1
C00259,57,560952,Salaried,Graduate,Married,East,729,1149123,10,1,0
C00260,52,393304,Salaried,Graduate,Single,North,775,207234,20,0,0
C00261,29,944630,Business,Not Graduate,Single,South,720,794809,1,1,1
C00262,61,515950,Salaried,Graduate,Single,South,630,730047,1,1,1
C00263,55,276493,Self-Employed,Graduate,Married,West,662,1983764,3,0,1
C00264,39,202487,Business,Not Graduate,Married,West,512,323139,15,1,1
C00265,36,427108,Business,Not Graduate,Married,East,637,499704,1,1,1
C00266,23,425021,Self-Employed,Graduate,Married,East,572,1101207,5,0,0
C00267,40,509504,Salaried,Graduate,Married,South,712,187039,20,2,0
C00268,44,762845,Business,Graduate,Married,East,881,924726,1,2,0
C00269,53,718988,Salaried,Graduate,Single,East,694,1447998,10,2,0
C00270,44,340951,Business,Not Graduate,Single,West,470,638759,20,0,0
C00271,31,247157,Self-Employed,Graduate,Married,South,617,349260,20,1,0
C00272,28,253887,Self-Employed,Graduate,Single,Central,661,1977124,5,0,1
C00273,56,317565,Salaried,Graduate,Single,Central,657,1526019,1,0,1
C00274,58,375108,Self-Employed,Graduate,Married,North,584,1755878,5,0,1
C00275,60,507513,Business,Graduate,Married,West,672,621952,1,0,1
C00276,40,308526,Business,Not Graduate,Married,North,538,733429,15,2,0
C00277,55,501910,Salaried,Graduate,Married,South,564,1185918,5,1,0
C00278,45,520694,Business,Graduate,Married,Central,708,64407,2,1,0
C00279,55,471891,Salaried,Graduate,Married,Central,558,1212502,3,1,0
C00280,45,266231,Self-Employed,Not Graduate,Single,Central,698,371345,5,0,0
C00281,49,546080,Self-Employed,Not Graduate,Married,North,526,916525,10,0,1
C00282,38,1128693,Salaried,Not Graduate,Single,East,808,497564,3,1,0
C00283,38,494179,Salaried,Not Graduate,Single,North,580,1835917,3,0,1
C00284,22,117138,Self-Employed,Not Graduate,Married,Central,629,1640742,1,0,1
C00285,55,773279,Salaried,Graduate,Single,West,679,133100,5,1,0
C00286,36,322469,Salaried,Graduate,Single,West,599,1963637,15,0,0
C00287,61,1226371,Self-Employed,Graduate,Married,North,662,1547212,20,2,0
C00288,56,466196,Business,Graduate,Single,North,701,544308,3,1,0
C00289,53,207292,Self-Employed,Not Graduate,Married,South,736,1321635,10,1,0
C00290,24,174710,Salaried,Graduate,Single,North,721,1666032,15,0,0
C00291,53,884593,Salaried,Graduate,Single,North,634,1348972,15,2,0
C00292,34,727709,Self-Employed,Graduate,Married,Central,636,1873345,10,0,0
C00293,41,1204660,Self-Employed,Graduate,Married,East,861,367006,20,0,0
C00294,40,444593,Self-Employed,Graduate,Married,Central,735,1057126,10,2,0
C00295,28,431301,Business,Graduate,Married,East,567,1049529,1,1,1
C00296,27,372419,Salaried,Graduate,Married,Central,658,78004,2,1,0
C00297,23,328985,Salaried,Not Graduate,Married,Central,619,856903,20,1,0
C00298,37,370795,Business,Graduate,Single,South,637,574252,5,0,0
C00299,53,487896,Salaried,Graduate,Single,East,539,666108,3,0,0
C00300,32,302623,Self-Employed,Not Graduate,Single,Central,612,1289815,5,0,0
C00301,42,208734,Business,Graduate,Single,Central,813,1725093,15,1,0
C00302,42,475415,Business,Not Graduate,Single,East,702,527044,3,0,0
C00303,50,299602,Self-Employed,Not Graduate,Single,South,425,901740,20,3,1
C00304,58,102976,Salaried,Not Graduate,Married,East,759,1444689,1,1,1
C00305,58,567306,Business,Not Graduate,Married,South,748,1113144,5,0,0
C00306,28,268706,Self-Employed,Graduate,Single,South,617,1078464,1,0,1
C00307,47,595886,Salaried,Graduate,Married,West,714,1632330,1,1,1
C00308,47,589500,Self-Employed,Graduate,Married,South,572,1320705,20,1,0
C00309,54,502632,Salaried,Graduate,Single,West,607,1680188,5,0,0
C00310,41,1360779,Business,Graduate,Married,North,784,938640,5,0,0
C00311,50,415765,Salaried,Graduate,Single,South,625,196539,20,0,0
C00312,53,389049,Business,Not Graduate,Married,East,481,1065059,20,1,0
C00313,48,601783,Business,Graduate,Single,West,644,1698819,3,0,1
C00314,53,431511,Business,Graduate,Married,North,642,197748,15,0,0
C00315,25,745806,Self-Employed,Graduate,Married,North,757,1193367,15,1,0
C00316,39,249955,Business,Not Graduate,Married,South,651,736874,20,0,0
C00317,24,251833,Salaried,Not Graduate,Married,East,612,945150,10,0,1
C00318,55,624442,Salaried,Graduate,Married,South,744,596938,1,1,0
C00319,37,261930,Business,Not Graduate,Single,Central,660,400434,15,1,0
C00320,64,581923,Salaried,Graduate,Married,North,582,1176277,2,2,0
C00321,48,522563,Salaried,Graduate,Married,Central,753,1895691,20,0,0
C00322,50,323670,Salaried,Graduate,Married,Central,667,279164,20,0,0
C00323,49,521897,Salaried,Graduate,Married,West,650,1551611,3,0,1
C00324,26,253833,Self-Employed,Not Graduate,Single,Central,666,655266,20,2,1
C00325,55,282107,Self-Employed,Graduate,Single,North,553,1627724,3,1,1
C00326,61,397625,Salaried,Graduate,Married,North,602,709089,10,1,0
C00327,57,458409,Business,Not Graduate,Single,East,650,605639,10,0,0
C00328,44,385911,Salaried,Not Graduate,Single,South,632,1604496,20,0,0
C00329,49,537617,Self-Employed,Graduate,Married,East,764,1423464,1,2,1
C00330,51,526923,Salaried,Graduate,Single,East,669,729706,3,1,1
C00331,55,880473,Self-Employed,Graduate,Single,South,726,956630,3,0,0
C00332,53,423844,Salaried,Graduate,Married,North,650,910587,2,0,0
C00333,41,757329,Salaried,Not Graduate,Single,West,745,1220025,1,1,1
C00334,52,669526,Business,Graduate,Single,Central,685,650988,1,2,1
C00335,43,1242069,Salaried,Not Graduate,Single,West,651,809774,15,1,0
C00336,53,417789,Business,Graduate,Married,Central,648,1891963,10,1,0
C00337,23,366164,Self-Employed,Graduate,Married,South,564,1356147,15,1,0
C00338,38,779152,Salaried,Not Graduate,Single,South,695,513506,1,0,0
C00339,45,526204,Self-Employed,Graduate,Single,East,646,487509,20,1,0
C00340,62,787600,Salaried,Graduate,Married,South,604,766696,2,0,1
C00341,51,610821,Salaried,Not Graduate,Single,Central,749,858094,20,2,0
C00342,23,171434,Business,Graduate,Married,West,537,1629272,20,0,1
C00343,60,524051,Salaried,Graduate,Married,West,611,1794339,1,1,1
C00344,44,508920,Self-Employed,Graduate,Single,West,742,313369,15,0,0
C00345,52,469722,Salaried,Graduate,Married,West,678,979700,5,1,0
C00346,42,416853,Self-Employed,Not Graduate,Single,East,645,513002,20,0,0
C00347,43,216108,Salaried,Not Graduate,Single,West,672,1245020,20,0,0
C00348,22,655648,Salaried,Graduate,Single,Central,666,831608,5,0,0
C00349,47,523449,Business,Not Graduate,Married,East,513,1640143,2,1,1
C00350,62,726417,Salaried,Graduate,Single,East,618,1208977,10,1,0
C00351,22,221363,Self-Employed,Not Graduate,Single,East,795,1325377,3,1,1
C00352,46,555825,Self-Employed,Not Graduate,Single,South,590,821668,1,2,0
C00353,37,398078,Self-Employed,Graduate,Married,East,621,1602151,15,1,0
C00354,60,471986,Self-Employed,Not Graduate,Single,Central,601,1977412,10,2,1
C00355,53,400143,Salaried,Graduate,Single,West,642,219259,15,3,0
C00356,29,565024,Salaried,Graduate,Married,South,597,297145,10,0,0
C00357,63,411147,Business,Graduate,Married,West,693,360625,1,1,0
C00358,59,275581,Business,Not Graduate,Married,North,667,733835,3,1,1
C00359,49,459958,Salaried,Not Graduate,Single,South,719,1143128,1,2,1
C00360,62,401764,Salaried,Graduate,Married,Central,555,249041,3,0,1
C00361,46,426118,Self-Employed,Graduate,Married,South,619,1306182,15,0,0
C00362,55,105396,Business,Graduate,Single,East,629,1853541,2,0,1
C00363,45,601502,Business,Graduate,Married,South,691,836157,3,2,0
C00364,44,384001,Business,Graduate,Married,East,578,1498650,10,1,0
C00365,33,241187,Salaried,Graduate,Married,West,732,779846,2,0,1
C00366,27,670080,Business,Graduate,Married,South,756,124474,15,1,0
C00367,56,589107,Business,Graduate,Married,South,561,337312,5,1,0
C00368,40,381820,Salaried,Graduate,Single,Central,605,1654963,2,1,1
C00369,21,263424,Salaried,Graduate,Married,North,602,252252,3,0,0
C00370,28,479315,Salaried,Not Graduate,Single,South,886,1863318,2,0,0
C00371,36,467613,Self-Employed,Graduate,Married,West,611,1422175,15,0,1
C00372,34,670614,Salaried,Graduate,Single,East,800,628528,2,0,0
C00373,32,362333,Salaried,Graduate,Single,West,536,386940,15,0,0
C00374,43,757451,Salaried,Graduate,Married,Central,560,1939600,5,1,0
C00375,35,346932,Salaried,Not Graduate,Married,South,588,1883610,3,0,1
C00376,48,241439,Salaried,Graduate,Married,North,573,1482901,20,0,0
C00377,54,265792,Self-Employed,Graduate,Married,North,625,302051,10,1,0
C00378,22,430160,Salaried,Not Graduate,Single,South,586,1200187,2,0,1
C00379,52,429560,Business,Not Graduate,Married,North,576,1680910,20,1,0
C00380,43,512746,Business,Not Graduate,Married,West,754,1873332,1,0,1
C00381,42,424782,Business,Graduate,Married,East,760,66488,10,0,0
